Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
HGUC 130 RGM-96X Jesta,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 126 RGM-86R GM III,19.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGUC 123 Jegan ECOAS Type,21,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.3
HGUC 049 Psycho Gundam,61,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGBD:R 032 Nepteight Weapons,9.95,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,No reviews
HGBD:R 025 Saturnix Weapons,7.99,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGUC 059 MS-09 Dom/MS-09R Rick-Dom,22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGCC 177 Turn A Gundam,17,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,None,No reviews
HGBF 009 Star Build Strike Gundam Plavsky Wing,20,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGGBB 02 Gundam Livelance Heaven,26,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 115 Delta Plus,27,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGUC 008 MSM-03 Gogg,11,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.6
HGSEED 57 MB-P03 Gundam Astray Blue Frame Second L,22,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,4.0
HGUC 066 Gundam GP02 Physalis,25,Bandai,Model Kit,In stock,1/144,HG - High Grade,None,Mobile Suit Gundam,5.0
HGFC 110 God Gundam,23,Bandai,Model Kit,In stock,1/144,HG - High Grade,Mobile Suit Gundam,G Gundam,4.0
